abandons, simple present, abandon
detected, past tense, detect
detectives, plural form, detective
determines, simple present, determine
determining, present participle, determine
determined, past tense, determine
developed, past participle, develop
developing, present participle, develop
develops, simple present, develop
developments, plural form, development
devices, plural form, device
diagrams, plural form, diagram
diagrammed, past participle, diagram
diagramming, present participle, diagram
dialogues, plural form, dialogue
dialogued, past participle, dialogue
dialoguing, present participle, dialogue
diamonds, plural form, diamond
diamonded, past participle, diamond
diamonding, present participle, diamond
diaries, plural form, diary
dictionaries, plural form, dictionary
dies, plural form, die
dying, present participle, die
died, past tense, die
diets, plural form, diet
dieting, present participle, diet
dieted, past tense, diet
differences, plural form, difference
difficulties, plural form, difficulty
digs, plural form, dig
dug, past participle, dig
digging, present participle, dig
dinners, plural form, dinner
directs, simple present, direct
directing, present participle, direct
directed, past participle, direct
directions, plural form, direction
directors, plural form, director
dirties, simple present, dirty
dirtying, present participle, dirty
dirtied, past tense, dirty
dirtier, comparative degree, dirty
dirtiest, superlative, dirty
disadvantages, plural form, disadvantage
disadvantaging, present participle, disadvantage
disadvantaged, past participle, disadvantage
disagreed, past participle, disagree
disagreeing, present participle, disagree
disagrees, simple present, disagree
disappeared, past tense, disappear
disappearing, present participle, disappear
disappears, simple present, disappear
disasters, plural form, disaster
discs, plural form, disc
disciplines, plural form, discipline
disciplining, present participle, discipline
disciplined, past participle, discipline
discounts, simple present, discount
discounting, present participle, discount
discounted, past tense, discount
discovered, past participle, discover
discovering, present participle, discover
discovers, simple present, discover
discoveries, plural form, discovery
discussed, past participle, discuss
discussing, present participle, discuss
discusses, simple present, discuss
discussions, plural form, discussion
diseases, plural form, disease
dishes, simple present, dish
dishing, present participle, dish
dished, past tense, dish
dislikes, simple present, dislike
disliking, present participle, dislike
disliked, past tense, dislike
dismisses, simple present, dismiss
dismissing, present participle, dismiss
dismissed, past tense, dismiss
displayed, past participle, display
displaying, present participle, display
displays, simple present, display
distances, plural form, distance
distancing, present participle, distance
distanced, past participle, distance
distributes, simple present, distribute
distributing, present participle, distribute
distributed, past tense, distribute
distributions, plural form, distribution
districts, plural form, district
districted, past participle, district
districting, present participle, district
divides, simple present, divide
dividing, present participle, divide
divided, past tense, divide
divisions, plural form, division
dos, plural form, do
done, past participle, do
doing, present participle, do
does, simple present, do
doctors, simple present, doctor
doctoring, present participle, doctor
doctored, past tense, doctor
documents, plural form, document
documenting, present participle, document
documented, past tense, document
documentaries, plural form, documentary
dogs, plural form, dog
dogging, present participle, dog
dogged, past tense, dog
dollars, plural form, dollar
domestics, plural form, domestic
dominates, simple present, dominate
dominating, present participle, dominate
dominated, past participle, dominate
donated, past participle, donate
donating, present participle, donate
donates, simple present, donate
doors, plural form, door
doubles, plural form, double
doubled, past participle, double
doubling, present participle, double
doubted, past participle, doubt
doubting, present participle, doubt
doubts, simple present, doubt
downs, plural form, down
downed, past participle, down
downing, present participle, down
downloaded, past participle, download
downloading, present participle, download
downloads, simple present, download
drafts, simple present, draft
drafting, present participle, draft
drafted, past tense, draft
drags, plural form, drag
dragging, present participle, drag
dragged, past tense, drag
dramas, plural form, drama
draws, simple present, draw
drawing, present participle, draw
drew, past tense, draw
drawn, past participle, draw
drawings, plural form, drawing
dreams, plural form, dream
dreaming, present participle, dream
dreamt, past participle, dream
dreamed, past tense, dream
dressed, past participle, dress
dressing, present participle, dress
dresses, simple present, dress
drank, past tense, drink
drunk, past participle, drink
drinking, present participle, drink
drinks, simple present, drink
drives, simple present, drive
driving, present participle, drive
drove, past tense, drive
driven, past participle, drive
drivers, plural form, driver
dropped, past participle, drop
dropping, present participle, drop
drops, simple present, drop
drugs, plural form, drug
drugging, present participle, drug
drugged, past tense, drug
drums, plural form, drum
drummed, past participle, drum
drumming, present participle, drum
drunks, plural form, drunk
drier, comparative degree, dry
driest, superlative, dry
dried, past participle, dry
drying, present participle, dry
dries, simple present, dry
dues, plural form, due
dusts, simple present, dust
dusting, present participle, dust
dusted, past tense, dust
duties, plural form, duty
dvds, plural form, dvd
ears, plural form, ear
earing, present participle, ear
eared, past participle, ear
earlier, comparative degree, early
earliest, superlative, early
earned, past participle, earn
earning, present participle, earn
earns, simple present, earn
earths, simple present, earth
earthing, present participle, earth
earthed, past tense, earth
earthquakes, plural form, earthquake
easier, comparative degree, easy
easiest, superlative, easy
ate, past tense, eat
eaten, past participle, eat
eating, present participle, eat
eats, simple present, eat
economies, plural form, economy
edges, simple present, edge
edging, present participle, edge
edged, past tense, edge
edits, plural form, edit
editing, present participle, edit
edited, past tense, edit
editions, plural form, edition
editors, plural form, editor
educates, simple present, educate
educating, present participle, educate
educated, past tense, educate
educations, plural form, education
effects, plural form, effect
effecting, present participle, effect
effected, past tense, effect
effectives, plural form, effective
efforts, plural form, effort
eggs, plural form, egg
egging, present participle, egg
egged, past participle, egg
eights, plural form, eight
eighteens, plural form, eighteen
eighties, plural form, eighty
elects, simple present, elect
electing, present participle, elect
elected, past participle, elect
elections, plural form, election
electrics, plural form, electric
elements, plural form, element
elephants, plural form, elephant
elevens, plural form, eleven
e-mails, plural form, email
e-mailed, past participle, email
e-mailing, present participle, email
emerges, simple present, emerge
emerging, present participle, emerge
emerged, past participle, emerge
emergencies, plural form, emergency
emotions, plural form, emotion
emphases, plural form, emphasis
emphasizes, simple present, emphasize
emphasizing, present participle, emphasize
emphasized, past tense, emphasize
employs, simple present, employ
employing, present participle, employ
employed, past participle, employ
employees, plural form, employee
employers, plural form, employer
employments, plural form, employment
empties, simple present, empty
emptying, present participle, empty
emptied, past tense, empty
emptier, comparative degree, empty
emptiest, superlative, empty
enables, simple present, enable
enabling, present participle, enable
enabled, past tense, enable
encountered, past participle, encounter
encountering, present participle, encounter
encounters, simple present, encounter
encourages, simple present, encourage
encouraging, present participle, encourage
encouraged, past participle, encourage
ends, simple present, end
ending, present participle, end
ended, past participle, end
endings, plural form, ending
enemies, plural form, enemy
energies, plural form, energy
engages, simple present, engage
engaging, present participle, engage
engaged, past tense, engage
engines, plural form, engine
engineers, plural form, engineer
engineering, present participle, engineer
engineered, past participle, engineer
enhanced, past participle, enhance
enhancing, present participle, enhance
enhances, simple present, enhance
enjoys, simple present, enjoy
enjoying, present participle, enjoy
enjoyed, past tense, enjoy
enquiries, plural form, enquiry
ensured, past participle, ensure
ensuring, present participle, ensure
ensures, simple present, ensure
enters, simple present, enter
entering, present participle, enter
entered, past participle, enter
entertains, simple present, entertain
entertaining, present participle, entertain
entertained, past tense, entertain
entertainments, plural form, entertainment
enthusiasms, plural form, enthusiasm
entires, plural form, entire
entrances, plural form, entrance
entranced, past participle, entrance
entrancing, present participle, entrance
entries, plural form, entry
environments, plural form, environment
episodes, plural form, episode
equals, plural form, equal
equalling, present participle, equal
equalled, past tense, equal
errors, plural form, error
escapes, simple present, escape
escaping, present participle, escape
escaped, past tense, escape
essays, plural form, essay
essaying, present participle, essay
essayed, past participle, essay
essentials, plural form, essential
establishes, simple present, establish
establishing, present participle, establish
established, past tense, establish
estates, plural form, estate
estimates, simple present, estimate
estimating, present participle, estimate
estimated, past participle, estimate
euros, plural form, euro
evaluates, simple present, evaluate
evaluating, present participle, evaluate
evaluated, past tense, evaluate
evens, simple present, even
evening, present participle, even
evened, past tense, even
evenings, plural form, evening
events, plural form, event
eventing, present participle, event
evented, past participle, event
evidenced, past participle, evidence
evidencing, present participle, evidence
evidences, simple present, evidence
evils, plural form, evil
exacts, simple present, exact
exacting, present participle, exact
exacted, past tense, exact
exams, plural form, exam
examinations, plural form, examination
examines, simple present, examine
examining, present participle, examine
examined, past tense, examine
examples, plural form, example
exampling, present participle, example
exampled, past participle, example
excepted, past participle, except
excepting, present participle, except
excepts, simple present, except
exchanges, simple present, exchange
exchanging, present participle, exchange
exchanged, past tense, exchange
excitements, plural form, excitement
excuses, plural form, excuse
excusing, present participle, excuse
excused, past tense, excuse
executives, plural form, executive
exercises, simple present, exercise
exercising, present participle, exercise
exercised, past tense, exercise
exhibitions, plural form, exhibition
exists, simple present, exist
existing, present participle, exist
existed, past participle, exist
existences, plural form, existence
expands, simple present, expand
expanding, present participle, expand
expanded, past tense, expand
expected, past participle, expect
expecting, present participle, expect
expects, simple present, expect
expectations, plural form, expectation
expeditions, plural form, expedition
expenses, plural form, expense
expensed, past participle, expense
expensing, present participle, expense
experiences, plural form, experience
experiencing, present participle, experience
experienced, past tense, experience
experiments, simple present, experiment
experimenting, present participle, experiment
experimented, past tense, experiment
experts, plural form, expert
explains, simple present, explain
explaining, present participle, explain
explained, past tense, explain
explanations, plural form, explanation
explodes, simple present, explode
exploding, present participle, explode
exploded, past participle, explode
explorations, plural form, exploration
explored, past participle, explore
exploring, present participle, explore
explores, simple present, explore
explosions, plural form, explosion
exported, past participle, export
exporting, present participle, export
exports, simple present, export
exposes, simple present, expose
exposing, present participle, expose
exposed, past tense, expose
expresses, simple present, express
expressing, present participle, express
expressed, past tense, express
expressions, plural form, expression
extended, past participle, extend
extending, present participle, extend
extends, simple present, extend
extents, plural form, extent
externals, plural form, external
extras, plural form, extra
extremes, plural form, extreme
eyes, plural form, eye
eyed, past participle, eye
eyeing, present participle, eye
faces, plural form, face
faced, past participle, face
facing, present participle, face
facilities, plural form, facility
facts, plural form, fact
factors, simple present, factor
factoring, present participle, factor
factored, past tense, factor
factories, plural form, factory
fails, simple present, fail
failing, present participle, fail
failed, past tense, fail
failures, plural form, failure
fairs, plural form, fair
fairer, comparative degree, fair
fairest, superlative, fair
fairing, present participle, fair
faired, past participle, fair
faiths, plural form, faith
falls, plural form, fall
falling, present participle, fall
fell, past tense, fall
fallen, past participle, fall
falser, comparative degree, false
falsest, superlative, false
familiars, plural form, familiar
families, plural form, family
fans, plural form, fan
fanning, present participle, fan
fanned, past participle, fan
fancier, comparative degree, fancy
fanciest, superlative, fancy
fancies, simple present, fancy
fancying, present participle, fancy
fancied, past tense, fancy
farther, comparative degree, far
farthest, superlative, far
farms, simple present, farm
farming, present participle, farm
farmed, past tense, farm
farmers, plural form, farmer
fascinated, past tense, fascinating
fascinating, present participle, fascinating
fascinates, simple present, fascinating
fashions, plural form, fashion
fashioned, past participle, fashion
fashioning, present participle, fashion
faster, comparative degree, fast
fastest, superlative, fast
fasts, plural form, fast
fasting, present participle, fast
fasted, past tense, fast
fastens, simple present, fasten
fastening, present participle, fasten
fastened, past participle, fasten
fats, plural form, fat
fatter, comparative degree, fat
fattest, superlative, fat
fatted, past participle, fat
fatting, present participle, fat
fathers, plural form, father
fathering, present participle, father
fathered, past participle, father
faults, plural form, fault
faulting, present participle, fault
faulted, past participle, fault
favours, simple present, favour
favouring, present participle, favour
favoured, past tense, favour
favourites, plural form, favourite
fears, plural form, fear
fearing, present participle, fear
feared, past tense, fear
feathers, plural form, feather
feathering, present participle, feather
feathered, past participle, feather
features, plural form, feature
featured, past participle, feature
featuring, present participle, feature
februaries, plural form, february
fees, plural form, fee
feeds, plural form, feed
feeding, present participle, feed
fed, past tense, feed
feels, simple present, feel
feeling, present participle, feel
felt, past participle, feel
feelings, plural form, feeling
fellows, plural form, fellow
females, plural form, female
fences, plural form, fence
fencing, present participle, fence
fenced, past participle, fence
festivals, plural form, festival
fewer, comparative degree, few
fewest, superlative, few
fictions, plural form, fiction
fields, plural form, field
fielding, present participle, field
fielded, past participle, field
fifteens, plural form, fifteen
fifths, plural form, fifth
fifties, plural form, fifty
fights, simple present, fight
fighting, present participle, fight
fought, past tense, fight
figures, simple present, figure
figuring, present participle, figure
figured, past tense, figure
files, simple present, file
filing, present participle, file
filed, past tense, file
fills, simple present, fill
filling, present participle, fill
filled, past tense, fill
filming, present participle, film
filmed, past tense, film
films, simple present, film
finals, plural form, final
financed, past participle, finance
financing, present participle, finance
finances, simple present, finance
finds, plural form, find
finding, present participle, find
found, past tense, find
findings, plural form, finding
finer, comparative degree, fine
finest, superlative, fine
fines, plural form, fine
fined, past participle, fine
fining, present participle, fine
fingers, plural form, finger
fingered, past participle, finger
fingering, present participle, finger
finishes, simple present, finish
finishing, present participle, finish
finished, past tense, finish
fires, plural form, fire
firing, present participle, fire
fired, past tense, fire
firms, plural form, firm
firmer, comparative degree, firm
firmest, superlative, firm
firmed, past participle, firm
firming, present participle, firm
firsts, plural form, first
fishes, simple present, fish
fishing, present participle, fish
fished, past tense, fish
fits, plural form, fit
fitter, comparative degree, fit
fittest, superlative, fit
fitted, past participle, fit
fitting, present participle, fit
fives, plural form, five
fixes, plural form, fix
fixing, present participle, fix
fixed, past tense, fix
flags, plural form, flag
flagging, present participle, flag
flagged, past participle, flag
flames, simple present, flame
flaming, present participle, flame
flamed, past tense, flame
flashes, plural form, flash
flashing, present participle, flash
flashed, past tense, flash
flatter, comparative degree, flat
flattest, superlative, flat
flats, plural form, flat
flatted, past participle, flat
flatting, present participle, flat
flights, plural form, flight
floats, plural form, float
floating, present participle, float
floated, past participle, float
floods, simple present, flood
flooding, present participle, flood
flooded, past tense, flood
floors, plural form, floor
flooring, present participle, floor
floored, past participle, floor
flours, simple present, flour
flouring, present participle, flour
floured, past tense, flour
flows, simple present, flow
flowing, present participle, flow
flowed, past participle, flow
flowers, plural form, flower
flowering, present participle, flower
flowered, past tense, flower
flus, plural form, flu
flew, past tense, fly
flown, past participle, fly
flying, present participle, fly
flies, simple present, fly
flyer, comparative degree, fly
focuses, plural form, focus
focusing, present participle, focus
focused, past participle, focus
focusses, simple present, focus
folds, simple present, fold
folding, present participle, fold
folded, past tense, fold
followed, past participle, follow
following, present participle, follow
follows, simple present, follow
followings, plural form, following
foods, plural form, food
feet, plural form, foot
footed, past participle, foot
footing, present participle, foot
foots, simple present, foot
footballs, plural form, football
forces, plural form, force
forcing, present participle, force
forced, past tense, force
forests, plural form, forest
foresting, present participle, forest
forested, past participle, forest
forgets, simple present, forget
forgetting, present participle, forget
forgot, past tense, forget
forgotten, past participle, forget
forgives, simple present, forgive
forgiving, present participle, forgive
forgave, past tense, forgive
forgiven, past participle, forgive
forks, simple present, fork
forking, present participle, fork
forked, past tense, fork
forms, simple present, form
forming, present participle, form
formed, past tense, form
formals, plural form, formal
formers, plural form, former
fortunes, plural form, fortune
forties, plural form, forty
forwards, simple present, forward
forwarding, present participle, forward
forwarded, past tense, forward
founds, simple present, found
founding, present participle, found
founded, past tense, found
fours, plural form, four
fourteens, plural form, fourteen
fourths, plural form, fourth
frames, simple present, frame
framing, present participle, frame
framed, past tense, frame
freer, comparative degree, free
freest, superlative, free
frees, simple present, free
freeing, present participle, free
freed, past participle, free
freedoms, plural form, freedom
freezes, plural form, freeze
freezing, present participle, freeze
froze, past tense, freeze
frozen, past participle, freeze
frequencies, plural form, frequency
fresher, comparative degree, fresh
freshest, superlative, fresh
fridays, plural form, friday
fridges, plural form, fridge
friends, plural form, friend
friended, past participle, friend
friending, present participle, friend
friendlier, comparative degree, friendly
friendliest, superlative, friendly
friendlies, plural form, friendly
friendships, plural form, friendship
frightens, simple present, frighten
frightening, present participle, frighten
frightened, past tense, frighten
frogs, plural form, frog
fronts, plural form, front
fronted, past participle, front
fronting, present participle, front
fruited, past participle, fruit
fruiting, present participle, fruit
fruits, simple present, fruit
fries, plural form, fry
frying, present participle, fry
fried, past tense, fry
fueling, present participle, fuel
fueled, past tense, fuel
fuels, simple present, fuel
fuller, comparative degree, full
fullest, superlative, full
fulled, past participle, full
fulling, present participle, full
fulls, simple present, full
funned, past participle, fun
funning, present participle, fun
funs, simple present, fun
functions, simple present, function
functioning, present participle, function
functioned, past tense, function
funds, plural form, fund
funding, present participle, fund
funded, past tense, fund
fundamentals, plural form, fundamental
funnier, comparative degree, funny
funniest, superlative, funny
funnies, plural form, funny
furs, plural form, fur
furthers, simple present, further
furthering, present participle, further
furthered, past tense, further
futures, plural form, future
gains, plural form, gain
gained, past participle, gain
gaining, present participle, gain
galleries, plural form, gallery
games, plural form, game
gaming, present participle, game
gamed, past participle, game
gangs, simple present, gang
ganging, present participle, gang
ganged, past participle, gang
gaps, plural form, gap
gapping, present participle, gap
gapped, past participle, gap
garages, plural form, garage
garaging, present participle, garage
garaged, past tense, garage
gardens, plural form, garden
gardening, present participle, garden
gardened, past tense, garden
gasses, plural form, gas
gases, simple present, gas
gassing, present participle, gas
gassed, past tense, gas
gates, plural form, gate
gated, past participle, gate
gating, present participle, gate
gathered, past participle, gather
gathering, present participle, gather
gathers, simple present, gather
generals, plural form, general
generated, past participle, generate
generating, present participle, generate
generates, simple present, generate
generations, plural form, generation
genres, plural form, genre
gentler, comparative degree, gentle
gentlest, superlative, gentle
gentled, past participle, gentle
gentling, present participle, gentle
gentles, simple present, gentle
gentlemen, plural form, gentleman
geographies, plural form, geography
gets, simple present, get
getting, present participle, get
got, past tense, get
ghosts, plural form, ghost
ghosting, present participle, ghost
ghosted, past participle, ghost
giants, plural form, giant
gifts, plural form, gift
gifted, past participle, gift
gifting, present participle, gift
girls, plural form, girl
girlfriends, plural form, girlfriend
gives, simple present, give
giving, present participle, give
gave, past tense, give
given, past participle, give
gladder, comparative degree, glad
gladdest, superlative, glad
gladded, past participle, glad
gladding, present participle, glad
glads, simple present, glad
glasses, plural form, glass
glassed, past participle, glass
glassing, present participle, glass
gloves, plural form, glove
gloving, present participle, glove
gloved, past participle, glove
goes, simple present, go
gone, past participle, go
going, present participle, go
goals, plural form, goal
gods, plural form, god
golds, plural form, gold
golfs, simple present, golf
golfed, past tense, golf
golfing, present participle, golf
better, comparative degree, good
best, superlative, good
goodbyes, plural form, goodbye
governs, simple present, govern
governing, present participle, govern
governed, past tense, govern
governments, plural form, government
grabs, simple present, grab
grabbing, present participle, grab
grabbed, past participle, grab
grades, plural form, grade
graded, past participle, grade
grading, present participle, grade
graduates, plural form, graduate
graduated, past participle, graduate
graduating, present participle, graduate
grains, plural form, grain
grained, past participle, grain
graining, present participle, grain
grander, comparative degree, grand
grandest, superlative, grand
grands, plural form, grand
grandfathers, plural form, grandfather
grandfathered, past participle, grandfather
grandfathering, present participle, grandfather
grandmothers, plural form, grandmother
grandparents, plural form, grandparent
granted, past participle, grant
granting, present participle, grant
grants, simple present, grant
grasses, plural form, grass
grassing, present participle, grass
grassed, past participle, grass
greats, plural form, great
greater, comparative degree, great
greatest, superlative, great
greener, comparative degree, green
greenest, superlative, green
greens, plural form, green
greened, past participle, green
greening, present participle, green
greets, simple present, greet
greeting, present participle, greet
greeted, past participle, greet
greyer, comparative degree, grey
greyest, superlative, grey
greys, plural form, grey
greying, present participle, grey
greyed, past tense, grey
grounds, plural form, ground
grounded, past participle, ground
grounding, present participle, ground
groups, plural form, group
grouping, present participle, group
grouped, past participle, group
grew, past tense, grow
grown, past participle, grow
growing, present participle, grow
grows, simple present, grow
growths, plural form, growth
guarantees, plural form, guarantee
guaranteed, past participle, guarantee
guaranteeing, present participle, guarantee
guards, simple present, guard
guarding, present participle, guard
guarded, past participle, guard
guesses, plural form, guess
guessed, past participle, guess
guessing, present participle, guess
guests, simple present, guest
guesting, present participle, guest
guested, past tense, guest
guides, simple present, guide
guiding, present participle, guide
guided, past tense, guide
guiltier, comparative degree, guilty
guiltiest, superlative, guilty
guitars, plural form, guitar
guns, plural form, gun
gunning, present participle, gun
gunned, past participle, gun
guys, plural form, guy
guying, present participle, guy
guyed, past participle, guy
gyms, plural form, gym
habits, plural form, habit
habited, past participle, habit
habiting, present participle, habit
hairs, plural form, hair
halves, plural form, half
halls, plural form, hall
hands, plural form, hand
handing, present participle, hand
handed, past participle, hand
handled, past participle, handle
handling, present participle, handle
handles, simple present, handle
hangs, simple present, hang
hanging, present participle, hang
hung, past tense, hang
happened, past participle, happen
happening, present participle, happen
happens, simple present, happen
happier, comparative degree, happy
happiest, superlative, happy
harder, comparative degree, hard
hardest, superlative, hard
hards, plural form, hard
harms, simple present, harm
harming, present participle, harm
harmed, past tense, harm
hats, plural form, hat
hates, simple present, hate
hating, present participle, hate
hated, past participle, hate
has, simple present, have
having, present participle, have
had, past participle, have
hes, plural form, he
heads, plural form, head
heading, present participle, head
headed, past tense, head
headaches, plural form, headache
headlines, simple present, headline
headlining, present participle, headline
headlined, past tense, headline
healths, plural form, health
healthier, comparative degree, healthy
healthiest, superlative, healthy
hears, simple present, hear
hearing, present participle, hear
heard, past participle, hear
hearings, plural form, hearing
hearts, plural form, heart
heats, plural form, heat
heating, present participle, heat
heated, past participle, heat
heavier, comparative degree, heavy
heaviest, superlative, heavy
heavies, plural form, heavy
heeled, past participle, heel
heeling, present participle, heel
heels, simple present, heel
heights, plural form, height
helicopters, plural form, helicopter
helicoptered, past participle, helicopter
helicoptering, present participle, helicopter
hells, plural form, hell
helled, past participle, hell
helling, present participle, hell
helped, past participle, help
helping, present participle, help
helps, simple present, help
heroes, plural form, hero
hesitates, simple present, hesitate
hesitating, present participle, hesitate
hesitated, past tense, hesitate
hides, simple present, hide
hiding, present participle, hide
hid, past tense, hide
hidden, past participle, hide
highs, plural form, high
higher, comparative degree, high
highest, superlative, high
highlights, plural form, highlight
highlighting, present participle, highlight
highlighted, past tense, highlight
hills, plural form, hill
hilling, present participle, hill
hilled, past participle, hill
hires, simple present, hire
hiring, present participle, hire
hired, past tense, hire
histories, plural form, history
hitting, present participle, hit
hits, simple present, hit
hobbies, plural form, hobby
held, past participle, hold
holding, present participle, hold
holds, simple present, hold
holes, plural form, hole
holed, past participle, hole
holing, present participle, hole
holidays, plural form, holiday
holidaying, present participle, holiday
holidayed, past participle, holiday
hollower, comparative degree, hollow
hollowest, superlative, hollow
hollows, plural form, hollow
hollowed, past participle, hollow
hollowing, present participle, hollow
holier, comparative degree, holy
holiest, superlative, holy
holies, plural form, holy
homes, plural form, home
homed, past participle, home
homing, present participle, home
honours, plural form, honour
honouring, present participle, honour
honoured, past participle, honour
hopes, simple present, hope
hoping, present participle, hope
hoped, past tense, hope
horrors, plural form, horror
horses, plural form, horse
hospitals, plural form, hospital
hosts, plural form, host
hosting, present participle, host
hosted, past tense, host
hotter, comparative degree, hot
hottest, superlative, hot
hotels, plural form, hotel
hours, plural form, hour
houses, plural form, house
housed, past participle, house
housing, present participle, house
households, plural form, household
housings, plural form, housing
huger, comparative degree, huge
hugest, superlative, huge
humans, plural form, human
humors, simple present, humour
humoring, present participle, humour
humored, past tense, humour
hundreds, plural form, hundred
hungrier, comparative degree, hungry
hungriest, superlative, hungry
hunts, simple present, hunt
hunting, present participle, hunt
hunted, past participle, hunt
hurricanes, plural form, hurricane
hurries, simple present, hurry
hurrying, present participle, hurry
hurried, past tense, hurry
hurts, simple present, hurt
hurting, present participle, hurt
husbands, plural form, husband
husbanding, present participle, husband
husbanded, past participle, husband
ices, simple present, ice
icing, present participle, ice
iced, past tense, ice
ideas, plural form, idea
ideals, plural form, ideal
identifies, simple present, identify
identifying, present participle, identify
identified, past tense, identify
identities, plural form, identity
ifs, plural form, if
ignores, simple present, ignore
ignoring, present participle, ignore
ignored, past participle, ignore
worse, comparative degree, ill
worst, superlative, ill
ills, plural form, ill
illegals, plural form, illegal
illnesses, plural form, illness
illustrates, simple present, illustrate
illustrating, present participle, illustrate
illustrated, past tense, illustrate
illustrations, plural form, illustration
images, plural form, image
imaging, present participle, image
imaged, past participle, image
imaginations, plural form, imagination
imagining, present participle, imagine
imagined, past tense, imagine
imagines, simple present, imagine
immigrants, plural form, immigrant
impacts, plural form, impact
impacting, present participle, impact
impacted, past participle, impact
implies, simple present, imply
implying, present participle, imply
implied, past tense, imply
imported, past participle, import
importing, present participle, import
imports, simple present, import
imposes, simple present, impose
imposing, present participle, impose
imposed, past tense, impose
impresses, simple present, impress
impressing, present participle, impress
impressed, past tense, impress
impressions, plural form, impression
improves, simple present, improve
improving, present participle, improve
improved, past tense, improve
improvements, plural form, improvement
ins, plural form, in
inches, plural form, inch
inched, past participle, inch
inching, present participle, inch
incidents, plural form, incident
includes, simple present, include
including, present participle, include
included, past tense, include
incomes, plural form, income
increases, plural form, increase
increasing, present participle, increase
increased, past tense, increase
independents, plural form, independent
indicated, past participle, indicate
indicating, present participle, indicate
indicates, simple present, indicate
individuals, plural form, individual
industrials, plural form, industrial
industries, plural form, industry
infections, plural form, infection
influences, plural form, influence
influencing, present participle, influence
influenced, past participle, influence
informs, simple present, inform
informing, present participle, inform
informed, past participle, inform
ingredients, plural form, ingredient
initials, simple present, initial
initialling, present participle, initial
initialled, past tense, initial
initiatives, plural form, initiative
injured, past participle, injure
injuring, present participle, injure
injures, simple present, injure
injuries, plural form, injury
inners, plural form, inner
innocents, plural form, innocent
insects, plural form, insect
insides, plural form, inside
insights, plural form, insight
insists, simple present, insist
insisting, present participle, insist
insisted, past tense, insist
inspired, past participle, inspire
inspiring, present participle, inspire
inspires, simple present, inspire
installed, past participle, install
installing, present participle, install
installs, simple present, install
instances, plural form, instance
instanced, past participle, instance
instancing, present participle, instance
institutes, simple present, institute
instituting, present participle, institute
instituted, past tense, institute
institutions, plural form, institution
instructions, plural form, instruction
instructors, plural form, instructor
instruments, plural form, instrument
instrumented, past participle, instrument
instrumenting, present participle, instrument
intelligences, plural form, intelligence
intends, simple present, intend
intending, present participle, intend
intended, past tense, intend
intentions, plural form, intention
interests, plural form, interest
interested, past participle, interest
interesting, present participle, interest
internationals, plural form, international
interprets, simple present, interpret
interpreting, present participle, interpret
interpreted, past participle, interpret
interrupted, past participle, interrupt
interrupting, present participle, interrupt
interrupts, simple present, interrupt
interviews, plural form, interview
interviewed, past participle, interview
interviewing, present participle, interview
introduces, simple present, introduce
introducing, present participle, introduce
introduced, past tense, introduce
introductions, plural form, introduction
invented, past participle, invent
inventing, present participle, invent
invents, simple present, invent
inventions, plural form, invention
invests, simple present, invest
investing, present participle, invest
invested, past tense, invest
investigates, simple present, investigate
investigating, present participle, investigate
investigated, past tense, investigate
investigations, plural form, investigation
investments, plural form, investment
invitations, plural form, invitation
invites, simple present, invite
inviting, present participle, invite
invited, past participle, invite
involved, past participle, involve
involving, present participle, involve
involves, simple present, involve
irons, plural form, iron
ironed, past participle, iron
ironing, present participle, iron
islands, plural form, island
islanding, present participle, island
islanded, past participle, island
issues, simple present, issue
issuing, present participle, issue
issued, past tense, issue
items, plural form, item
jackets, plural form, jacket
jacketed, past participle, jacket
jacketing, present participle, jacket
jams, simple present, jam
jamming, present participle, jam
jammed, past participle, jam
januarys, plural form, january
jazzes, simple present, jazz
jazzing, present participle, jazz
jazzed, past participle, jazz
jobs, plural form, job
jobbing, present participle, job
jobbed, past participle, job
joins, simple present, join
joining, present participle, join
joined, past tense, join
jokes, plural form, joke
joked, past participle, joke
joking, present participle, joke
journals, plural form, journal
journalists, plural form, journalist
journeys, plural form, journey
journeying, present participle, journey
journeyed, past tense, journey
joys, plural form, joy
joying, present participle, joy
joyed, past tense, joy
judges, simple present, judge
judging, present participle, judge
judged, past tense, judge
juiced, past participle, juice
juicing, present participle, juice
juices, simple present, juice
jumps, simple present, jump
jumping, present participle, jump
jumped, past tense, jump
junes, plural form, june
juniors, plural form, junior
justices, plural form, justice
justifies, simple present, justify
justifying, present participle, justify
justified, past tense, justify
keens, simple present, keen
keening, present participle, keen
keened, past participle, keen
keener, comparative degree, keen
keenest, superlative, keen
kept, past participle, keep
keeping, present participle, keep
keeps, simple present, keep
keys, plural form, key
keyed, past participle, key
keying, present participle, key
keyboards, plural form, keyboard
keyboarding, present participle, keyboard
keyboarded, past tense, keyboard
kicks, simple present, kick
kicking, present participle, kick
kicked, past tense, kick
kids, plural form, kid
kidding, present participle, kid
kidded, past tense, kid
killed, past participle, kill
killing, present participle, kill
kills, simple present, kill
killings, plural form, killing
kilometres, plural form, kilometre
kinder, comparative degree, kind
kindest, superlative, kind
kinds, plural form, kind
kings, plural form, king
kinging, present participle, king
kinged, past participle, king
kisses, simple present, kiss
kissing, present participle, kiss
kissed, past participle, kiss
kitchens, plural form, kitchen
knees, plural form, knee
kneed, past participle, knee
