abolishes, simple present, abolish
forbids, simple present, forbid
forbade, past tense, forbid
forbidden, past participle, forbid
forecasts, plural form, forecast
forecasting, present participle, forecast
foreigners, plural form, foreigner
forges, plural form, forge
forged, past participle, forge
forging, present participle, forge
formats, plural form, format
formatting, present participle, format
formatted, past tense, format
formations, plural form, formation
formulas, plural form, formula
formulates, simple present, formulate
formulating, present participle, formulate
formulated, past participle, formulate
forums, plural form, forum
fossils, plural form, fossil
fostered, past participle, foster
fostering, present participle, foster
fosters, simple present, foster
foundations, plural form, foundation
founders, plural form, founder
foundering, present participle, founder
foundered, past participle, founder
fractions, plural form, fraction
fragments, plural form, fragment
fragmented, past participle, fragment
fragmenting, present participle, fragment
frameworks, plural form, framework
franchises, plural form, franchise
franchising, present participle, franchise
franchised, past tense, franchise
frauds, plural form, fraud
frequents, simple present, frequent
frequenting, present participle, frequent
frequented, past tense, frequent
frustrations, plural form, frustration
fulfils, simple present, fulfil
fulfilling, present participle, fulfil
fulfilled, past tense, fulfil
funerals, plural form, funeral
gallons, plural form, gallon
gatherings, plural form, gathering
gayer, comparative degree, gay
gayest, superlative, gay
gays, plural form, gay
gazed, past participle, gaze
gazing, present participle, gaze
gazes, simple present, gaze
gears, simple present, gear
gearing, present participle, gear
geared, past tense, gear
genders, plural form, gender
genes, plural form, gene
generics, plural form, generic
geniuses, plural form, genius
gestures, plural form, gesture
gesturing, present participle, gesture
gestured, past tense, gesture
gigs, simple present, gig
gigging, present participle, gig
gigged, past tense, gig
glances, plural form, glance
glancing, present participle, glance
glanced, past participle, glance
glimpses, plural form, glimpse
glimpsed, past participle, glimpse
glimpsing, present participle, glimpse
globes, plural form, globe
globed, past participle, globe
globing, present participle, globe
glories, plural form, glory
governors, plural form, governor
graces, plural form, grace
gracing, present participle, grace
graced, past tense, grace
graphics, plural form, graphic
grasps, simple present, grasp
grasping, present participle, grasp
grasped, past tense, grasp
graver, comparative degree, grave
gravest, superlative, grave
graves, simple present, grave
graving, present participle, grave
graved, past participle, grave
greenhouses, plural form, greenhouse
grids, plural form, grid
griefs, plural form, grief
grins, plural form, grin
grinned, past participle, grin
grinning, present participle, grin
ground, past participle, grind
grinding, present participle, grind
grinds, simple present, grind
grips, plural form, grip
gripped, past participle, grip
gripping, present participle, grip
groceries, plural form, grocery
guerrillas, plural form, guerrilla
guidelines, plural form, guideline
guts, plural form, gut
gutting, present participle, gut
gutted, past tense, gut
habitats, plural form, habitat
hails, plural form, hail
hailed, past tense, hail
hailing, present participle, hail
halted, past participle, halt
halting, present participle, halt
halts, simple present, halt
handfuls, plural form, handful
handier, comparative degree, handy
handiest, superlative, handy
harbours, plural form, harbour
harbouring, present participle, harbour
harboured, past participle, harbour
harmonies, plural form, harmony
harsher, comparative degree, harsh
harshest, superlative, harsh
harvests, plural form, harvest
harvesting, present participle, harvest
harvested, past tense, harvest
haunts, simple present, haunt
haunting, present participle, haunt
haunted, past participle, haunt
hazards, simple present, hazard
hazarding, present participle, hazard
hazarded, past tense, hazard
heals, simple present, heal
healing, present participle, heal
healed, past tense, heal
heightens, simple present, heighten
heightening, present participle, heighten
heightened, past tense, heighten
helmets, plural form, helmet
herbs, plural form, herb
heritages, plural form, heritage
hierarchies, plural form, hierarchy
highways, plural form, highway
hints, simple present, hint
hinting, present participle, hint
hinted, past tense, hint
hips, plural form, hip
hipper, comparative degree, hip
hippest, superlative, hip
historians, plural form, historian
homelands, plural form, homeland
honesties, plural form, honesty
hooks, plural form, hook
hooked, past participle, hook
hooking, present participle, hook
hopefuls, plural form, hopeful
horizons, plural form, horizon
horns, plural form, horn
horning, present participle, horn
horned, past participle, horn
hostages, plural form, hostage
hostiles, plural form, hostile
hostilities, plural form, hostility
humanitarians, plural form, humanitarian
humbles, simple present, humble
humbling, present participle, humble
humbled, past tense, humble
humbler, comparative degree, humble
humblest, superlative, humble
hungers, simple present, hunger
hungering, present participle, hunger
hungered, past tense, hunger
hypotheses, plural form, hypothesis
icons, plural form, icon
identifications, plural form, identification
ideologies, plural form, ideology
idiots, plural form, idiot
illusions, plural form, illusion
immigrations, plural form, immigration
implements, plural form, implement
implementing, present participle, implement
implemented, past participle, implement
implications, plural form, implication
imprisoned, past tense, imprison
imprisoning, present participle, imprison
imprisons, simple present, imprison
incentives, plural form, incentive
incidences, plural form, incidence
inclusions, plural form, inclusion
incorporates, simple present, incorporate
incorporating, present participle, incorporate
incorporated, past participle, incorporate
incurs, simple present, incur
incurring, present participle, incur
incurred, past participle, incur
indexes, plural form, index
indexing, present participle, index
indexed, past participle, index
indications, plural form, indication
indicators, plural form, indicator
indictments, plural form, indictment
induces, simple present, induce
inducing, present participle, induce
induced, past tense, induce
indulged, past participle, indulge
indulging, present participle, indulge
indulges, simple present, indulge
inequalities, plural form, inequality
infants, plural form, infant
infected, past participle, infect
infecting, present participle, infect
infects, simple present, infect
infers, simple present, infer
inferring, present participle, infer
inferred, past tense, infer
inflicts, simple present, inflict
inflicting, present participle, inflict
inflicted, past tense, inflict
infrastructures, plural form, infrastructure
inhabitants, plural form, inhabitant
inherits, simple present, inherit
inheriting, present participle, inherit
inherited, past tense, inherit
inhibits, simple present, inhibit
inhibiting, present participle, inhibit
inhibited, past tense, inhibit
initiated, past participle, initiate
initiating, present participle, initiate
initiates, simple present, initiate
injected, past participle, inject
injecting, present participle, inject
injects, simple present, inject
injections, plural form, injection
injustices, plural form, injustice
inked, past participle, ink
inking, present participle, ink
inks, simple present, ink
inmates, plural form, inmate
innovations, plural form, innovation
inputs, plural form, input
inputting, present participle, input
inputted, past participle, input
inserts, simple present, insert
inserting, present participle, insert
inserted, past tense, insert
insertions, plural form, insertion
insiders, plural form, insider
inspected, past participle, inspect
inspecting, present participle, inspect
inspects, simple present, inspect
inspections, plural form, inspection
inspectors, plural form, inspector
inspirations, plural form, inspiration
installations, plural form, installation
instants, plural form, instant
instincts, plural form, instinct
instructs, simple present, instruct
instructing, present participle, instruct
instructed, past tense, instruct
instrumentals, plural form, instrumental
insults, plural form, insult
insulting, present participle, insult
insulted, past participle, insult
intakes, plural form, intake
integrals, plural form, integral
integrates, simple present, integrate
integrating, present participle, integrate
integrated, past tense, integrate
intellectuals, plural form, intellectual
intensifies, simple present, intensify
intensifying, present participle, intensify
intensified, past tense, intensify
intensities, plural form, intensity
intensives, plural form, intensive
interacts, simple present, interact
interacting, present participle, interact
interacted, past tense, interact
interactions, plural form, interaction
interfaces, plural form, interface
interfaced, past participle, interface
interfacing, present participle, interface
interferes, simple present, interfere
interfering, present participle, interfere
interfered, past tense, interfere
interims, plural form, interim
interiors, plural form, interior
intermediates, plural form, intermediate
intermediated, past participle, intermediate
intermediating, present participle, intermediate
interpretations, plural form, interpretation
intervals, plural form, interval
intervenes, simple present, intervene
intervening, present participle, intervene
intervened, past tense, intervene
interventions, plural form, intervention
intimates, simple present, intimate
intimating, present participle, intimate
intimated, past tense, intimate
invaded, past participle, invade
invading, present participle, invade
invades, simple present, invade
invasions, plural form, invasion
investigators, plural form, investigator
investors, plural form, investor
invisibles, plural form, invisible
invoked, past participle, invoke
invoking, present participle, invoke
invokes, simple present, invoke
involvements, plural form, involvement
ironies, plural form, irony
isolates, simple present, isolate
isolating, present participle, isolate
isolated, past participle, isolate
jails, plural form, jail
jailed, past participle, jail
jailing, present participle, jail
jets, simple present, jet
jetting, present participle, jet
jetted, past tense, jet
joints, plural form, joint
jointed, past participle, joint
jointing, present participle, joint
junctions, plural form, junction
jurisdictions, plural form, jurisdiction
juries, plural form, jury
justifications, plural form, justification
kidnaps, simple present, kidnap
kidnapping, present participle, kidnap
kidnapped, past participle, kidnap
kidneys, plural form, kidney
kingdoms, plural form, kingdom
kits, plural form, kit
lads, plural form, lad
ladders, plural form, ladder
laddering, present participle, ladder
laddered, past participle, ladder
landings, plural form, landing
landlords, plural form, landlord
landmarks, plural form, landmark
lanes, plural form, lane
lapped, past participle, lap
lapping, present participle, lap
laps, simple present, lap
lasers, plural form, laser
lawns, plural form, lawn
lawsuits, plural form, lawsuit
layouts, plural form, layout
leaflets, simple present, leaflet
leafleting, present participle, leaflet
leafleted, past tense, leaflet
leaking, present participle, leak
leaked, past tense, leak
leaks, simple present, leak
leaps, simple present, leap
leaping, present participle, leap
leaped, past tense, leap
legacies, plural form, legacy
legends, plural form, legend
legislatures, plural form, legislature
legitimated, past participle, legitimate
legitimating, present participle, legitimate
legitimates, simple present, legitimate
lengthier, comparative degree, lengthy
lengthiest, superlative, lengthy
lenses, plural form, lens
lensed, past participle, lens
lensing, present participle, lens
lesbians, plural form, lesbian
liberals, plural form, liberal
liberations, plural form, liberation
liberties, plural form, liberty
licenses, simple present, license
licensing, present participle, license
licensed, past tense, license
lifetimes, plural form, lifetime
limbs, plural form, limb
limitations, plural form, limitation
line-ups, plural form, line-up
lingered, past participle, linger
lingering, present participle, linger
lingers, simple present, linger
lists, plural form, listing
listing, present participle, listing
listed, past participle, listing
litres, plural form, litre
litters, plural form, litter
littered, past participle, litter
littering, present participle, litter
livers, plural form, liver
lobbies, plural form, lobby
lobbied, past participle, lobby
lobbying, present participle, lobby
logs, plural form, log
logged, past participle, log
logging, present participle, log
logos, plural form, logo
looms, plural form, loom
looming, present participle, loom
loomed, past tense, loom
loops, plural form, loop
looping, present participle, loop
looped, past participle, loop
lotteries, plural form, lottery
loyalties, plural form, loyalty
lyrics, plural form, lyric
magistrates, plural form, magistrate
magnitudes, plural form, magnitude
mainstreams, simple present, mainstream
mainstreaming, present participle, mainstream
mainstreamed, past tense, mainstream
majors, plural form, major
majoring, present participle, major
majored, past participle, major
makeups, plural form, make-up
mandates, plural form, mandate
mandated, past participle, mandate
mandating, present participle, mandate
mandatories, plural form, mandatory
manifests, simple present, manifest
manifesting, present participle, manifest
manifested, past participle, manifest
manipulates, simple present, manipulate
manipulating, present participle, manipulate
manipulated, past tense, manipulate
manipulations, plural form, manipulation
manufactures, plural form, manufacture
manufacturing, present participle, manufacture
manufactured, past tense, manufacture
manuscripts, plural form, manuscript
marathons, plural form, marathon
marches, plural form, march
marched, past participle, march
marching, present participle, march
margins, plural form, margin
margined, past participle, margin
margining, present participle, margin
marginals, plural form, marginal
marines, plural form, marine
markers, plural form, marker
marketplaces, plural form, marketplace
masks, plural form, mask
masking, present participle, mask
masked, past participle, mask
massacres, plural form, massacre
massacred, past participle, massacre
massacring, present participle, massacre
mates, plural form, mate
mated, past participle, mate
mating, present participle, mate
matures, simple present, mature
maturing, present participle, mature
matured, past participle, mature
maximized, past participle, maximize
maximizing, present participle, maximize
maximizes, simple present, maximize
mayors, plural form, mayor
mechanics, plural form, mechanic
mechanicals, plural form, mechanical
mechanisms, plural form, mechanism
medals, plural form, medal
medalling, present participle, medal
medalled, past participle, medal
medications, plural form, medication
meditations, plural form, meditation
melodies, plural form, melody
memberships, plural form, membership
memos, plural form, memo
memoirs, plural form, memoir
memorials, plural form, memorial
mentors, plural form, mentor
mentored, past participle, mentor
mentoring, present participle, mentor
merchants, plural form, merchant
merchanting, present participle, merchant
merchanted, past participle, merchant
mercies, plural form, mercy
merest, superlative, mere
meres, plural form, mere
merges, simple present, merge
merging, present participle, merge
merged, past participle, merge
mergers, plural form, merger
merits, plural form, merit
meriting, present participle, merit
merited, past tense, merit
metaphors, plural form, metaphor
methodologies, plural form, methodology
migrations, plural form, migration
militants, plural form, militant
militias, plural form, militia
mills, plural form, mill
milled, past participle, mill
milling, present participle, mill
miners, plural form, miner
minimized, past participle, minimize
minimizing, present participle, minimize
minimizes, simple present, minimize
ministries, plural form, ministry
minuter, comparative degree, minute
minutest, superlative, minute
minutes, plural form, minute
minuting, present participle, minute
minuted, past participle, minute
miracles, plural form, miracle
miseries, plural form, misery
missiles, plural form, missile
mobs, plural form, mob
mobbed, past participle, mob
mobbing, present participle, mob
mobilized, past participle, mobilize
mobilizing, present participle, mobilize
mobilizes, simple present, mobilize
modes, plural form, mode
moderates, plural form, moderate
moderated, past participle, moderate
moderating, present participle, moderate
modifications, plural form, modification
momenta, plural form, momentum
monks, plural form, monk
monopolies, plural form, monopoly
monsters, plural form, monster
monthlies, plural form, monthly
monuments, plural form, monument
moralities, plural form, morality
mortgages, plural form, mortgage
mortgaged, past participle, mortgage
mortgaging, present participle, mortgage
mosques, plural form, mosque
motions, simple present, motion
motioning, present participle, motion
motioned, past tense, motion
motivates, simple present, motivate
motivating, present participle, motivate
motivated, past tense, motivate
motivations, plural form, motivation
motives, plural form, motive
motived, past participle, motive
motiving, present participle, motive
motorists, plural form, motorist
municipals, plural form, municipal
mutuals, plural form, mutual
myths, plural form, myth
nastier, comparative degree, nasty
nastiest, superlative, nasty
nasties, plural form, nasty
nastied, past participle, nasty
nastying, present participle, nasty
necessities, plural form, necessity
neglected, past participle, neglect
neglecting, present participle, neglect
neglects, simple present, neglect
negotiates, simple present, negotiate
negotiating, present participle, negotiate
negotiated, past participle, negotiate
negotiations, plural form, negotiation
nests, plural form, nest
nesting, present participle, nest
nested, past tense, nest
nets, plural form, net
netted, past participle, net
netting, present participle, net
neutrals, plural form, neutral
newsletters, plural form, newsletter
niches, plural form, niche
niching, present participle, niche
niched, past participle, niche
nobler, comparative degree, noble
noblest, superlative, noble
nobles, plural form, noble
nods, simple present, nod
nodding, present participle, nod
nodded, past tense, nod
nominates, simple present, nominate
nominating, present participle, nominate
nominated, past tense, nominate
nominations, plural form, nomination
nominees, plural form, nominee
nonsenses, plural form, nonsense
norms, plural form, norm
notables, plural form, notable
notebooks, plural form, notebook
notifies, simple present, notify
notifying, present participle, notify
notified, past tense, notify
novels, plural form, novel
novelists, plural form, novelist
nurseries, plural form, nursery
objections, plural form, objection
obliges, simple present, oblige
obliging, present participle, oblige
obliged, past tense, oblige
observers, plural form, observer
obsesses, simple present, obsess
obsessing, present participle, obsess
obsessed, past participle, obsess
obsessions, plural form, obsession
obstacles, plural form, obstacle
occupations, plural form, occupation
occupies, simple present, occupy
occupying, present participle, occupy
occupied, past tense, occupy
occurrences, plural form, occurrence
offenders, plural form, offender
offerings, plural form, offering
operas, plural form, opera
operators, plural form, operator
opted, past participle, opt
opting, present participle, opt
opts, simple present, opt
orals, plural form, oral
orchestras, plural form, orchestra
organics, plural form, organic
orientations, plural form, orientation
originated, past participle, originate
originating, present participle, originate
originates, simple present, originate
outbreaks, plural form, outbreak
outfits, plural form, outfit
outfitted, past participle, outfit
outfitting, present participle, outfit
outings, plural form, outing
outlets, plural form, outlet
outlooks, plural form, outlook
outputs, plural form, output
outputting, present participle, output
outrages, plural form, outrage
outraging, present participle, outrage
outraged, past participle, outrage
outsiders, plural form, outsider
overcame, past tense, overcome
overcoming, present participle, overcome
overcomes, simple present, overcome
overlooked, past participle, overlook
overlooking, present participle, overlook
overlooks, simple present, overlook
overnights, simple present, overnight
overnighting, present participle, overnight
overnighted, past tense, overnight
oversaw, past tense, oversee
overseen, past participle, oversee
overseeing, present participle, oversee
oversees, simple present, oversee
overturns, simple present, overturn
overturning, present participle, overturn
overturned, past participle, overturn
overwhelmed, past participle, overwhelm
overwhelming, present participle, overwhelm
overwhelms, simple present, overwhelm
packets, plural form, packet
packeted, past participle, packet
packeting, present participle, packet
pads, plural form, pad
padded, past participle, pad
padding, present participle, pad
palms, plural form, palm
palming, present participle, palm
palmed, past tense, palm
panics, plural form, panic
panicked, past participle, panic
panicking, present participle, panic
parades, plural form, parade
paraded, past participle, parade
parading, present participle, parade
parallels, plural form, parallel
paralleling, present participle, parallel
paralleled, past participle, parallel
parameters, plural form, parameter
parishes, plural form, parish
partnerships, plural form, partnership
passings, plural form, passing
passives, plural form, passive
passwords, plural form, password
pastors, plural form, pastor
patches, plural form, patch
patched, past participle, patch
patching, present participle, patch
patents, plural form, patent
patented, past participle, patent
pathways, plural form, pathway
patrols, plural form, patrol
patrolling, present participle, patrol
patrolled, past participle, patrol
patroled, past tense, patrol
patrons, plural form, patron
pauses, simple present, pause
pausing, present participle, pause
paused, past tense, pause
peaks, plural form, peak
peaked, past participle, peak
peaking, present participle, peak
peasants, plural form, peasant
peers, plural form, peer
peered, past participle, peer
peering, present participle, peer
penalties, plural form, penalty
perceives, simple present, perceive
perceiving, present participle, perceive
perceived, past tense, perceive
perceptions, plural form, perception
persisted, past participle, persist
persisting, present participle, persist
persists, simple present, persist
petitions, plural form, petition
petitioning, present participle, petition
petitioned, past tense, petition
philosophers, plural form, philosopher
physicians, plural form, physician
pills, plural form, pill
pilled, past participle, pill
pilling, present participle, pill
pioneers, plural form, pioneer
pioneered, past participle, pioneer
pioneering, present participle, pioneer
pipelines, plural form, pipeline
pipelined, past participle, pipeline
pipelining, present participle, pipeline
pirates, simple present, pirate
pirating, present participle, pirate
pirated, past tense, pirate
pits, plural form, pit
pitted, past participle, pit
pitting, present participle, pit
placements, plural form, placement
pleas, plural form, plea
pleads, simple present, plead
pleading, present participle, plead
pleaded, past tense, plead
pledges, simple present, pledge
pledging, present participle, pledge
pledged, past tense, pledge
plugs, plural form, plug
plugging, present participle, plug
plugged, past tense, plug
plunges, simple present, plunge
plunging, present participle, plunge
plunged, past participle, plunge
poles, plural form, pole
poling, present participle, pole
poled, past participle, pole
polls, plural form, poll
polling, present participle, poll
polled, past tense, poll
ponds, plural form, pond
ponded, past participle, pond
ponding, present participle, pond
pops, plural form, pop
popped, past participle, pop
popping, present participle, pop
portfolios, plural form, portfolio
portions, plural form, portion
portioning, present participle, portion
portioned, past participle, portion
portrays, simple present, portray
portraying, present participle, portray
portrayed, past tense, portray
postpones, simple present, postpone
postponing, present participle, postpone
postponed, past participle, postpone
practitioners, plural form, practitioner
preached, past participle, preach
preaching, present participle, preach
preaches, simple present, preach
preceded, past participle, precede
preceding, present participle, precede
precedes, simple present, precede
precedents, plural form, precedent
predators, plural form, predator
predecessors, plural form, predecessor
preferences, plural form, preference
preferencing, present participle, preference
preferenced, past participle, preference
pregnancies, plural form, pregnancy
prejudices, plural form, prejudice
prejudiced, past participle, prejudice
prejudicing, present participle, prejudice
preliminaries, plural form, preliminary
premiers, plural form, premier
premises, plural form, premise
premised, past participle, premise
premising, present participle, premise
premiums, plural form, premium
prescribed, past participle, prescribe
prescribing, present participle, prescribe
prescribes, simple present, prescribe
prescriptions, plural form, prescription
presided, past participle, preside
presiding, present participle, preside
presides, simple present, preside
presidencies, plural form, presidency
presumed, past participle, presume
presuming, present participle, presume
presumes, simple present, presume
prevails, simple present, prevail
prevailing, present participle, prevail
prevailed, past tense, prevail
preventions, plural form, prevention
preys, simple present, prey
preying, present participle, prey
preyed, past tense, prey
prides, simple present, pride
priding, present participle, pride
prided, past tense, pride
principals, plural form, principal
priors, plural form, prior
privatizations, plural form, privatization
privileges, plural form, privilege
privileged, past participle, privilege
privileging, present participle, privilege
probabilities, plural form, probability
probables, plural form, probable
probes, plural form, probe
probing, present participle, probe
probed, past tense, probe
proceeds, simple present, proceed
proceeding, present participle, proceed
proceeded, past tense, proceed
processes, simple present, processing
processing, present participle, processing
processed, past tense, processing
processors, plural form, processor
proclaims, simple present, proclaim
proclaiming, present participle, proclaim
proclaimed, past tense, proclaim
profounder, comparative degree, profound
profoundest, superlative, profound
programs, plural form, programming
programming, present participle, programming
programmed, past tense, programming
progressives, plural form, progressive
prohibited, past participle, prohibit
prohibiting, present participle, prohibit
prohibits, simple present, prohibit
projections, plural form, projection
promotions, plural form, promotion
prompted, past participle, prompt
prompting, present participle, prompt
prompts, simple present, prompt
proportions, plural form, proportion
proportioned, past participle, proportion
proportioning, present participle, proportion
propositions, plural form, proposition
propositioning, present participle, proposition
propositioned, past participle, proposition
prosecutes, simple present, prosecute
prosecuting, present participle, prosecute
prosecuted, past tense, prosecute
prosecutions, plural form, prosecution
prosecutors, plural form, prosecutor
protectives, plural form, protective
proteins, plural form, protein
protesters, plural form, protester
protocols, plural form, protocol
protocoled, past participle, protocol
protocoling, present participle, protocol
provinces, plural form, province
provincials, plural form, provincial
provisions, plural form, provision
provisioning, present participle, provision
provisioned, past tense, provision
provokes, simple present, provoke
provoking, present participle, provoke
provoked, past tense, provoke
pulses, plural form, pulse
pulsing, present participle, pulse
pulsed, past tense, pulse
pumps, plural form, pump
pumping, present participle, pump
pumped, past tense, pump
punches, plural form, punch
punched, past participle, punch
punching, present participle, punch
punks, plural form, punk
pursuits, plural form, pursuit
puzzles, simple present, puzzle
puzzling, present participle, puzzle
puzzled, past tense, puzzle
queries, plural form, query
queried, past participle, query
querying, present participle, query
quests, plural form, quest
questing, present participle, quest
quested, past participle, quest
questionnaires, plural form, questionnaire
quotas, plural form, quota
racists, plural form, racist
radars, plural form, radar
radicals, plural form, radical
rages, plural form, rage
raging, present participle, rage
raged, past participle, rage
raids, simple present, raid
raiding, present participle, raid
raided, past tense, raid
rails, plural form, rail
railed, past participle, rail
railing, present participle, rail
rallied, past participle, rally
rallying, present participle, rally
rallies, simple present, rally
rankings, plural form, ranking
rapes, plural form, rape
raping, present participle, rape
raped, past tense, rape
rats, plural form, rat
ratted, past participle, rat
ratting, present participle, rat
ratings, plural form, rating
ratios, plural form, ratio
rays, plural form, ray
rayed, past participle, ray
raying, present participle, ray
realms, plural form, realm
reared, past participle, rear
rearing, present participle, rear
rears, simple present, rear
reassures, simple present, reassure
reassuring, present participle, reassure
reassured, past tense, reassure
rebels, simple present, rebel
rebelling, present participle, rebel
rebelled, past tense, rebel
rebellions, plural form, rebellion
rebuilds, simple present, rebuild
rebuilding, present participle, rebuild
rebuilt, past tense, rebuild
receivers, plural form, receiver
recessions, plural form, recession
recipients, plural form, recipient
reckoned, past participle, reckon
reckoning, present participle, reckon
reckons, simple present, reckon
reconstructions, plural form, reconstruction
recounts, simple present, recount
recounting, present participle, recount
recounted, past tense, recount
recoveries, plural form, recovery
recruited, past participle, recruit
recruiting, present participle, recruit
recruits, simple present, recruit
referees, plural form, referee
refereeing, present participle, referee
refereed, past tense, referee
referendums, plural form, referendum
reflections, plural form, reflection
reformed, past participle, reform
reforming, present participle, reform
reforms, simple present, reform
refuges, plural form, refuge
refugees, plural form, refugee
refusals, plural form, refusal
regained, past participle, regain
regaining, present participle, regain
regains, simple present, regain
regimes, plural form, regime
registrations, plural form, registration
regulates, simple present, regulate
regulating, present participle, regulate
regulated, past tense, regulate
regulators, plural form, regulator
reigns, plural form, reign
reigned, past participle, reign
reigning, present participle, reign
reinforces, simple present, reinforce
reinforcing, present participle, reinforce
reinforced, past tense, reinforce
rejections, plural form, rejection
relieves, simple present, relieve
relieving, present participle, relieve
relieved, past participle, relieve
remainders, plural form, remainder
remaindered, past participle, remainder
remaindering, present participle, remainder
remedies, plural form, remedy
remedying, present participle, remedy
remedied, past participle, remedy
reminders, plural form, reminder
removals, plural form, removal
renders, simple present, render
rendering, present participle, render
rendered, past participle, render
renews, simple present, renew
renewing, present participle, renew
renewed, past tense, renew
rentals, plural form, rental
replacements, plural form, replacement
representations, plural form, representation
reproduced, past participle, reproduce
reproducing, present participle, reproduce
reproduces, simple present, reproduce
reproductions, plural form, reproduction
republics, plural form, republic
resembles, simple present, resemble
resembling, present participle, resemble
resembled, past tense, resemble
resides, simple present, reside
residing, present participle, reside
resided, past participle, reside
residences, plural form, residence
residues, plural form, residue
resigned, past participle, resign
resigning, present participle, resign
resigns, simple present, resign
resignations, plural form, resignation
resistances, plural form, resistance
resolutions, plural form, resolution
restorations, plural form, restoration
restores, simple present, restore
restoring, present participle, restore
restored, past tense, restore
restraints, plural form, restraint
restricts, simple present, restrict
restricting, present participle, restrict
restricted, past tense, restrict
restrictions, plural form, restriction
resumed, past tense, resume
resuming, present participle, resume
resumes, simple present, resume
retailed, past participle, retail
retailing, present participle, retail
retails, simple present, retail
retirements, plural form, retirement
retreats, plural form, retreat
retreating, present participle, retreat
retreated, past tense, retreat
retrieves, simple present, retrieve
retrieving, present participle, retrieve
retrieved, past tense, retrieve
revelations, plural form, revelation
revenges, simple present, revenge
revenging, present participle, revenge
revenged, past participle, revenge
revenues, plural form, revenue
reverses, simple present, reverse
reversing, present participle, reverse
reversed, past participle, reverse
revisions, plural form, revision
revivals, plural form, revival
revived, past participle, revive
reviving, present participle, revive
revives, simple present, revive
revolutionaries, plural form, revolutionary
rifles, plural form, rifle
rifling, present participle, rifle
rifled, past participle, rifle
riots, simple present, riot
rioting, present participle, riot
rioted, past tense, riot
rips, plural form, rip
ripping, present participle, rip
ripped, past tense, rip
riskier, comparative degree, risky
riskiest, superlative, risky
rituals, plural form, ritual
rivals, plural form, rival
rivalling, present participle, rival
rivalled, past participle, rival
robs, simple present, rob
robbing, present participle, rob
robbed, past tense, rob
robberies, plural form, robbery
rocks, plural form, rock
rocked, past tense, rock
rocking, present participle, rock
rockets, plural form, rocket
rocketing, present participle, rocket
rocketed, past tense, rocket
rods, plural form, rod
rodding, present participle, rod
rodded, past participle, rod
romances, plural form, romance
romanced, past participle, romance
romancing, present participle, romance
roses, plural form, rose
rotated, past tense, rotate
rotating, present participle, rotate
rotates, simple present, rotate
rotations, plural form, rotation
ruins, plural form, ruin
ruined, past participle, ruin
ruining, present participle, ruin
rulings, plural form, ruling
rumors, plural form, rumour
rumored, past participle, rumour
rumoring, present participle, rumour
sacks, plural form, sack
sacking, present participle, sack
sacked, past tense, sack
sacrifices, plural form, sacrifice
sacrificed, past participle, sacrifice
sacrificing, present participle, sacrifice
saints, plural form, saint
sainting, present participle, saint
sainted, past participle, saint
sakes, plural form, sake
sanctions, plural form, sanction
sanctioned, past participle, sanction
sanctioning, present participle, sanction
satisfactions, plural form, satisfaction
says, simple present, say
saying, present participle, say
said, past tense, say
scandals, plural form, scandal
scares, plural form, scare
scaring, present participle, scare
scared, past tense, scare
scenarios, plural form, scenario
scholars, plural form, scholar
scholarships, plural form, scholarship
scopes, plural form, scope
scoping, present participle, scope
scoped, past tense, scope
scratches, simple present, scratch
scratching, present participle, scratch
scratched, past tense, scratch
screenings, plural form, screening
screws, plural form, screw
screwing, present participle, screw
screwed, past tense, screw
scrutinies, plural form, scrutiny
seals, plural form, seal
sealed, past participle, seal
sealing, present participle, seal
seculars, plural form, secular
seekers, plural form, seeker
segments, plural form, segment
segmenting, present participle, segment
segmented, past participle, segment
seized, past participle, seize
seizing, present participle, seize
seizes, simple present, seize
seminars, plural form, seminar
senators, plural form, senator
sensations, plural form, sensation
sensitivities, plural form, sensitivity
sentiments, plural form, sentiment
separations, plural form, separation
serials, plural form, serial
settlements, plural form, settlement
settlers, plural form, settler
set-ups, plural form, set-up
sexier, comparative degree, sexy
sexiest, superlative, sexy
shareholders, plural form, shareholder
shatters, simple present, shatter
shattering, present participle, shatter
shattered, past tense, shatter
sheds, plural form, shed
shedding, present participle, shed
sheered, past participle, sheer
sheering, present participle, sheer
sheers, simple present, sheer
shoots, simple present, shoot
shooting, present participle, shoot
shot, past participle, shoot
shores, plural form, shore
shored, past participle, shore
shoring, present participle, shore
shortages, plural form, shortage
shrinks, simple present, shrink
shrinking, present participle, shrink
shrank, past tense, shrink
shrunk, past participle, shrink
shrugs, plural form, shrug
shrugging, present participle, shrug
shrugged, past tense, shrug
siblings, plural form, sibling
sighed, past participle, sigh
sighing, present participle, sigh
sighs, simple present, sigh
signatures, plural form, signature
simulates, simple present, simulate
simulating, present participle, simulate
simulated, past tense, simulate
simulations, plural form, simulation
sins, plural form, sin
sinned, past participle, sin
sinning, present participle, sin
sketches, plural form, sketch
sketched, past participle, sketch
sketching, present participle, sketch
skips, plural form, skip
skipping, present participle, skip
skipped, past tense, skip
skulls, plural form, skull
slams, simple present, slam
slamming, present participle, slam
slammed, past tense, slam
slaps, plural form, slap
slapped, past participle, slap
slapping, present participle, slap
slashes, simple present, slash
slashing, present participle, slash
slashed, past participle, slash
slogans, plural form, slogan
slots, plural form, slot
slotted, past participle, slot
slotting, present participle, slot
smashes, simple present, smash
smashing, present participle, smash
